latitude,longitude
22.0,93.0
22.25,92.5
22.25,92.75
22.25,93.0
22.5,92.5
22.5,92.75
22.5,93.0
22.75,92.5
22.75,92.75
22.75,93.0
23.0,91.5
23.0,92.5
23.0,92.75
23.0,93.0
23.25,91.25
23.25,91.5
23.25,91.75
23.25,92.25
23.25,92.5
23.25,92.75
23.25,93.0
23.25,93.25
23.5,91.25
23.5,91.5
23.5,91.75
23.5,92.25
23.5,92.5
23.5,92.75
23.5,93.0
23.5,93.25
23.75,91.0
23.75,91.25
23.75,91.5
23.75,91.75
23.75,92.0
23.75,92.25
23.75,92.5
23.75,92.75
23.75,93.0
23.75,93.25
24.0,91.25
24.0,91.5
24.0,91.75
24.0,92.0
24.0,92.25
24.0,92.5
24.0,92.75
24.0,93.0
24.0,93.25
24.0,93.5
24.0,93.75
24.0,94.0
24.25,91.25
24.25,91.5
24.25,91.75
24.25,92.0
24.25,92.25
24.25,92.5
24.25,92.75
24.25,93.0
24.25,93.25
24.25,93.5
24.25,93.75
24.25,94.0
24.25,94.25
24.5,91.75
24.5,92.0
24.5,92.25
24.5,92.5
24.5,92.75
24.5,93.0
24.5,93.25
24.5,93.5
24.5,93.75
24.5,94.0
24.5,94.25
24.75,92.25
24.75,92.5
24.75,92.75
24.75,93.0
24.75,93.25
24.75,93.5
24.75,93.75
24.75,94.0
24.75,94.25
24.75,94.5
25.0,92.25
25.0,92.5
25.0,92.75
25.0,93.0
25.0,93.25
25.0,93.5
25.0,93.75
25.0,94.0
25.0,94.25
25.0,94.5
25.25,90.25
25.25,90.5
25.25,90.75
25.25,91.0
25.25,91.25
25.25,91.5
25.25,91.75
25.25,92.0
25.25,92.25
25.25,92.5
25.25,92.75
25.25,93.0
25.25,93.25
25.25,93.5
25.25,93.75
25.25,94.0
25.25,94.25
25.25,94.5
25.5,90.0
25.5,90.25
25.5,90.5
25.5,90.75
25.5,91.0
25.5,91.25
25.5,91.5
25.5,91.75
25.5,92.0
25.5,92.25
25.5,92.5
25.5,92.75
25.5,93.0
25.5,93.25
25.5,93.5
25.5,93.75
25.5,94.0
25.5,94.25
25.5,94.5
25.75,90.0
25.75,90.25
25.75,90.5
25.75,90.75
25.75,91.0
25.75,91.25
25.75,91.5
25.75,91.75
25.75,92.0
25.75,92.25
25.75,92.5
25.75,92.75
25.75,93.0
25.75,93.25
25.75,93.5
25.75,93.75
25.75,94.0
25.75,94.25
25.75,94.5
25.75,94.75
25.75,95.0
26.0,90.0
26.0,90.25
26.0,90.5
26.0,90.75
26.0,91.0
26.0,91.25
26.0,91.5
26.0,91.75
26.0,92.0
26.0,92.25
26.0,92.5
26.0,92.75
26.0,93.0
26.0,93.25
26.0,93.5
26.0,93.75
26.0,94.0
26.0,94.25
26.0,94.5
26.0,94.75
26.0,95.0
26.25,90.0
26.25,90.25
26.25,90.5
26.25,90.75
26.25,91.0
26.25,91.25
26.25,91.5
26.25,91.75
26.25,92.0
26.25,92.25
26.25,92.5
26.25,92.75
26.25,93.0
26.25,93.25
26.25,93.5
26.25,93.75
26.25,94.0
26.25,94.25
26.25,94.5
26.25,94.75
26.25,95.0
26.5,90.0
26.5,90.25
26.5,90.5
26.5,90.75
26.5,91.0
26.5,91.25
26.5,91.5
26.5,91.75
26.5,92.0
26.5,92.25
26.5,92.5
26.5,92.75
26.5,93.0
26.5,93.25
26.5,93.5
26.5,93.75
26.5,94.0
26.5,94.25
26.5,94.5
26.5,94.75
26.5,95.0
26.75,90.0
26.75,90.25
26.75,90.5
26.75,90.75
26.75,91.0
26.75,91.25
26.75,91.5
26.75,91.75
26.75,92.0
26.75,92.25
26.75,92.5
26.75,92.75
26.75,93.0
26.75,93.25
26.75,93.5
26.75,93.75
26.75,94.0
26.75,94.25
26.75,94.5
26.75,94.75
26.75,95.0
26.75,95.25
27.0,90.0
27.0,90.25
27.0,90.5
27.0,90.75
27.0,91.0
27.0,91.25
27.0,91.5
27.0,91.75
27.0,92.0
27.0,92.25
27.0,92.5
27.0,92.75
27.0,93.0
27.0,93.25
27.0,93.5
27.0,93.75
27.0,94.0
27.0,94.25
27.0,94.5
27.0,94.75
27.0,95.0
27.0,95.25
27.0,95.5
27.0,95.75
27.25,92.0
27.25,92.25
27.25,92.5
27.25,92.75
27.25,93.0
27.25,93.25
27.25,93.5
27.25,93.75
27.25,94.0
27.25,94.25
27.25,94.5
27.25,94.75
27.25,95.0
27.25,95.25
27.25,95.5
27.25,95.75
27.25,96.0
27.25,96.75
27.25,97.0
27.5,91.75
27.5,92.0
27.5,92.25
27.5,92.5
27.5,92.75
27.5,93.0
27.5,93.25
27.5,93.5
27.5,93.75
27.5,94.0
27.5,94.25
27.5,94.5
27.5,94.75
27.5,95.0
27.5,95.25
27.5,95.5
27.5,95.75
27.5,96.0
27.5,96.25
27.5,96.5
27.5,96.75
27.5,97.0
27.75,91.5
27.75,91.75
27.75,92.0
27.75,92.25
27.75,92.5
27.75,92.75
27.75,93.0
27.75,93.25
27.75,93.5
27.75,93.75
27.75,94.0
27.75,94.25
27.75,94.5
27.75,94.75
27.75,95.0
27.75,95.25
27.75,95.5
27.75,95.75
27.75,96.0
27.75,96.25
27.75,96.5
27.75,96.75
27.75,97.0
28.0,91.5
28.0,91.75
28.0,92.0
28.0,92.25
28.0,92.5
28.0,92.75
28.0,93.0
28.0,93.25
28.0,93.5
28.0,93.75
28.0,94.0
28.0,94.25
28.0,94.5
28.0,94.75
28.0,95.0
28.0,95.25
28.0,95.5
28.0,95.75
28.0,96.0
28.0,96.25
28.0,96.5
28.0,96.75
28.0,97.0
28.0,97.25
28.25,92.5
28.25,92.75
28.25,93.0
28.25,93.25
28.25,93.5
28.25,93.75
28.25,94.0
28.25,94.25
28.25,94.5
28.25,94.75
28.25,95.0
28.25,95.25
28.25,95.5
28.25,95.75
28.25,96.0
28.25,96.25
28.25,96.5
28.25,96.75
28.25,97.0
28.25,97.25
28.5,93.0
28.5,93.25
28.5,93.5
28.5,93.75
28.5,94.0
28.5,94.25
28.5,94.5
28.5,94.75
28.5,95.0
28.5,95.25
28.5,95.5
28.5,95.75
28.5,96.0
28.5,96.25
28.5,96.5
28.5,96.75
28.5,97.0
28.75,93.25
28.75,93.5
28.75,93.75
28.75,94.0
28.75,94.25
28.75,94.5
28.75,94.75
28.75,95.0
28.75,95.25
28.75,95.5
28.75,95.75
28.75,96.0
28.75,96.25
28.75,96.5
29.0,94.0
29.0,94.25
29.0,94.5
29.0,94.75
29.0,95.0
29.0,95.25
29.0,95.5
29.0,95.75
29.0,96.0
29.0,96.25
29.0,96.5
29.25,94.0
29.25,94.25
29.25,94.5
29.25,94.75
29.25,95.0
29.25,95.25
29.25,95.5
29.25,95.75
29.25,96.0
29.25,96.25
29.25,96.5
29.5,94.5
29.5,95.5
29.5,95.75
29.5,96.0
29.5,96.25
