,latitude,longitude
8476,22.0,93.0
8609,22.25,92.5
8610,22.25,92.75
8611,22.25,93.0
8744,22.5,92.5
8745,22.5,92.75
8746,22.5,93.0
8879,22.75,92.5
8880,22.75,92.75
8881,22.75,93.0
9010,23.0,91.5
9014,23.0,92.5
9015,23.0,92.75
9016,23.0,93.0
9144,23.25,91.25
9145,23.25,91.5
9146,23.25,91.75
9148,23.25,92.25
9149,23.25,92.5
9150,23.25,92.75
9151,23.25,93.0
9152,23.25,93.25
9279,23.5,91.25
9280,23.5,91.5
9281,23.5,91.75
9283,23.5,92.25
9284,23.5,92.5
9285,23.5,92.75
9286,23.5,93.0
9287,23.5,93.25
9413,23.75,91.0
9414,23.75,91.25
9415,23.75,91.5
9416,23.75,91.75
9417,23.75,92.0
9418,23.75,92.25
9419,23.75,92.5
9420,23.75,92.75
9421,23.75,93.0
9422,23.75,93.25
9549,24.0,91.25
9550,24.0,91.5
9551,24.0,91.75
9552,24.0,92.0
9553,24.0,92.25
9554,24.0,92.5
9555,24.0,92.75
9556,24.0,93.0
9557,24.0,93.25
9558,24.0,93.5
9559,24.0,93.75
9560,24.0,94.0
9684,24.25,91.25
9685,24.25,91.5
9686,24.25,91.75
9687,24.25,92.0
9688,24.25,92.25
9689,24.25,92.5
9690,24.25,92.75
9691,24.25,93.0
9692,24.25,93.25
9693,24.25,93.5
9694,24.25,93.75
9695,24.25,94.0
9696,24.25,94.25
9821,24.5,91.75
9822,24.5,92.0
9823,24.5,92.25
9824,24.5,92.5
9825,24.5,92.75
9826,24.5,93.0
9827,24.5,93.25
9828,24.5,93.5
9829,24.5,93.75
9830,24.5,94.0
9831,24.5,94.25
9958,24.75,92.25
9959,24.75,92.5
9960,24.75,92.75
9961,24.75,93.0
9962,24.75,93.25
9963,24.75,93.5
9964,24.75,93.75
9965,24.75,94.0
9966,24.75,94.25
9967,24.75,94.5
10093,25.0,92.25
10094,25.0,92.5
10095,25.0,92.75
10096,25.0,93.0
10097,25.0,93.25
10098,25.0,93.5
10099,25.0,93.75
10100,25.0,94.0
10101,25.0,94.25
10102,25.0,94.5
10220,25.25,90.25
10221,25.25,90.5
10222,25.25,90.75
10223,25.25,91.0
10224,25.25,91.25
10225,25.25,91.5
10226,25.25,91.75
10227,25.25,92.0
10228,25.25,92.25
10229,25.25,92.5
10230,25.25,92.75
10231,25.25,93.0
10232,25.25,93.25
10233,25.25,93.5
10234,25.25,93.75
10235,25.25,94.0
10236,25.25,94.25
10237,25.25,94.5
10353,25.5,89.75
10354,25.5,90.0
10355,25.5,90.25
10356,25.5,90.5
10357,25.5,90.75
10358,25.5,91.0
10359,25.5,91.25
10360,25.5,91.5
10361,25.5,91.75
10362,25.5,92.0
10363,25.5,92.25
10364,25.5,92.5
10365,25.5,92.75
10366,25.5,93.0
10367,25.5,93.25
10368,25.5,93.5
10369,25.5,93.75
10370,25.5,94.0
10371,25.5,94.25
10372,25.5,94.5
10488,25.75,89.75
10489,25.75,90.0
10490,25.75,90.25
10491,25.75,90.5
10492,25.75,90.75
10493,25.75,91.0
10494,25.75,91.25
10495,25.75,91.5
10496,25.75,91.75
10497,25.75,92.0
10498,25.75,92.25
10499,25.75,92.5
10500,25.75,92.75
10501,25.75,93.0
10502,25.75,93.25
10503,25.75,93.5
10504,25.75,93.75
10505,25.75,94.0
10506,25.75,94.25
10507,25.75,94.5
10508,25.75,94.75
10509,25.75,95.0
10623,26.0,89.75
10624,26.0,90.0
10625,26.0,90.25
10626,26.0,90.5
10627,26.0,90.75
10628,26.0,91.0
10629,26.0,91.25
10630,26.0,91.5
10631,26.0,91.75
10632,26.0,92.0
10633,26.0,92.25
10634,26.0,92.5
10635,26.0,92.75
10636,26.0,93.0
10637,26.0,93.25
10638,26.0,93.5
10639,26.0,93.75
10640,26.0,94.0
10641,26.0,94.25
10642,26.0,94.5
10643,26.0,94.75
10644,26.0,95.0
10758,26.25,89.75
10759,26.25,90.0
10760,26.25,90.25
10761,26.25,90.5
10762,26.25,90.75
10763,26.25,91.0
10764,26.25,91.25
10765,26.25,91.5
10766,26.25,91.75
10767,26.25,92.0
10768,26.25,92.25
10769,26.25,92.5
10770,26.25,92.75
10771,26.25,93.0
10772,26.25,93.25
10773,26.25,93.5
10774,26.25,93.75
10775,26.25,94.0
10776,26.25,94.25
10777,26.25,94.5
10778,26.25,94.75
10779,26.25,95.0
10893,26.5,89.75
10894,26.5,90.0
10895,26.5,90.25
10896,26.5,90.5
10897,26.5,90.75
10898,26.5,91.0
10899,26.5,91.25
10900,26.5,91.5
10901,26.5,91.75
10902,26.5,92.0
10903,26.5,92.25
10904,26.5,92.5
10905,26.5,92.75
10906,26.5,93.0
10907,26.5,93.25
10908,26.5,93.5
10909,26.5,93.75
10910,26.5,94.0
10911,26.5,94.25
10912,26.5,94.5
10913,26.5,94.75
10914,26.5,95.0
11028,26.75,89.75
11029,26.75,90.0
11030,26.75,90.25
11031,26.75,90.5
11032,26.75,90.75
11033,26.75,91.0
11034,26.75,91.25
11035,26.75,91.5
