,latitude,longitude
8328,21.75,89.75
8329,21.75,90.0
8330,21.75,90.25
8331,21.75,90.5
8332,21.75,90.75
8333,21.75,91.0
8334,21.75,91.25
8335,21.75,91.5
8336,21.75,91.75
8337,21.75,92.0
8338,21.75,92.25
8339,21.75,92.5
8340,21.75,92.75
8341,21.75,93.0
8342,21.75,93.25
8343,21.75,93.5
8344,21.75,93.75
8345,21.75,94.0
8346,21.75,94.25
8347,21.75,94.5
8348,21.75,94.75
8349,21.75,95.0
8350,21.75,95.25
8351,21.75,95.5
8352,21.75,95.75
8353,21.75,96.0
8354,21.75,96.25
8355,21.75,96.5
8356,21.75,96.75
8357,21.75,97.0
8358,21.75,97.25
8359,21.75,97.5
8360,21.75,97.75
8361,21.75,98.0
8463,22.0,89.75
8464,22.0,90.0
8465,22.0,90.25
8466,22.0,90.5
8467,22.0,90.75
8468,22.0,91.0
8469,22.0,91.25
8470,22.0,91.5
8471,22.0,91.75
8472,22.0,92.0
8473,22.0,92.25
8474,22.0,92.5
8475,22.0,92.75
8476,22.0,93.0
8477,22.0,93.25
8478,22.0,93.5
8479,22.0,93.75
8480,22.0,94.0
8481,22.0,94.25
8482,22.0,94.5
8483,22.0,94.75
8484,22.0,95.0
8485,22.0,95.25
8486,22.0,95.5
8487,22.0,95.75
8488,22.0,96.0
8489,22.0,96.25
8490,22.0,96.5
8491,22.0,96.75
8492,22.0,97.0
8493,22.0,97.25
8494,22.0,97.5
8495,22.0,97.75
8496,22.0,98.0
8598,22.25,89.75
8599,22.25,90.0
8600,22.25,90.25
8601,22.25,90.5
8602,22.25,90.75
8603,22.25,91.0
8604,22.25,91.25
8605,22.25,91.5
8606,22.25,91.75
8607,22.25,92.0
8608,22.25,92.25
8609,22.25,92.5
8610,22.25,92.75
8611,22.25,93.0
8612,22.25,93.25
8613,22.25,93.5
8614,22.25,93.75
8615,22.25,94.0
8616,22.25,94.25
8617,22.25,94.5
8618,22.25,94.75
8619,22.25,95.0
8620,22.25,95.25
8621,22.25,95.5
8622,22.25,95.75
8623,22.25,96.0
8624,22.25,96.25
8625,22.25,96.5
8626,22.25,96.75
8627,22.25,97.0
8628,22.25,97.25
8629,22.25,97.5
8630,22.25,97.75
8631,22.25,98.0
8733,22.5,89.75
8734,22.5,90.0
8735,22.5,90.25
8736,22.5,90.5
8737,22.5,90.75
8738,22.5,91.0
8739,22.5,91.25
8740,22.5,91.5
8741,22.5,91.75
8742,22.5,92.0
8743,22.5,92.25
8744,22.5,92.5
8745,22.5,92.75
8746,22.5,93.0
8747,22.5,93.25
8748,22.5,93.5
8749,22.5,93.75
8750,22.5,94.0
8751,22.5,94.25
8752,22.5,94.5
8753,22.5,94.75
8754,22.5,95.0
8755,22.5,95.25
8756,22.5,95.5
8757,22.5,95.75
8758,22.5,96.0
8759,22.5,96.25
8760,22.5,96.5
8761,22.5,96.75
8762,22.5,97.0
